video,width,height,question,answer,qid
54890,500,283,what is the color of the helmet,red,FRAMEQA29710
8336,500,572,what is the color of the shirt,white,FRAMEQA36980
43462,320,211,what is the color of the jacket,black,FRAMEQA28394
42875,320,212,what is driving down the street in the rain,car,FRAMEQA49143
24471,350,281,how many man is hugging and supporting each other,two,FRAMEQA27655
74745,500,281,what is the color of the cars,red,FRAMEQA22312
68825,500,281,what is the color of the jacket,black,FRAMEQA2498
51039,500,289,what is the color of the shirt,white,FRAMEQA52822
75689,500,281,how many men sing the musical song loudly,three,FRAMEQA15739
12565,245,245,what is the color of the shirt,black,FRAMEQA6290
90245,403,200,what does during the soccer game a player kill to another player,ball,FRAMEQA25151
86532,454,237,what is traveling along the tree lined street,car,FRAMEQA14752
85005,359,191,what pulls up to the gas tank and a boot steps out,truck,FRAMEQA23828
66791,297,166,how many men with no shirts on bump into each other and start kissing,two,FRAMEQA41584
28322,320,240,what is the color of the lipstick,red,FRAMEQA40262
28803,288,216,what is the black and white cat leaping off and then returning with something in its mouth,bed,FRAMEQA22739
98447,500,209,how many men are walking hiding from the guard,two,FRAMEQA8029
53583,245,138,how many man is sad another man hugs him,one,FRAMEQA5066
45822,496,312,what is stuck in the box with its head sticking out,cat,FRAMEQA18048
11036,307,312,what is the kitten waving,paws,FRAMEQA41959
86053,330,172,what does the car racing on a track go off into the grass,track,FRAMEQA33637
45668,245,155,what is the color of the dress,red,FRAMEQA17598
24893,320,255,what is the bull seal attacking,seal,FRAMEQA27624
100309,500,200,how many young men are dancing and singing,four,FRAMEQA7421
34333,500,375,what is the man with a mustache wearing,cap,FRAMEQA34713
46818,400,247,what is there jumping over a dog,cat,FRAMEQA42966
3495,245,340,how many young girls in hooded sweatshirts are talking to each other,two,FRAMEQA48859
84937,380,203,what are the cute little girl wearing having fun with her father,dress,FRAMEQA10503
63120,371,209,what does the young man open to a dark corridor,door,FRAMEQA20188
15553,245,245,what plays with itself in a little cup,kitten,FRAMEQA20848
79725,450,250,what is the white man wearing black is shooting,gun,FRAMEQA50099
46750,250,155,what is the color of the puppy,black,FRAMEQA47775
69851,500,281,what is the color of the man,black,FRAMEQA20983
91247,500,245,how many women decide to point at each other,two,FRAMEQA34259
90038,500,250,what is the woman parading on the catwalk,dress,FRAMEQA41706
94835,400,180,how many turtles are swimming in the sea,two,FRAMEQA1033
71560,400,225,what is being locked and the keys are being thrown away,lock,FRAMEQA8841
60827,480,270,how many people are performing the dance in a studio in front of other people,two,FRAMEQA9079
28618,320,240,what does the girl move up and down,yoyo,FRAMEQA33776
66890,346,194,what is the color of the shirt,red,FRAMEQA5012
4669,240,320,where are three people smiling and playing while,vehicle,FRAMEQA30817
72870,500,281,how many people stand close to each other in a room,two,FRAMEQA42591
85183,500,264,where is the young lady singing,lipstick,FRAMEQA43949
86269,500,261,what is the color of the pants,white,FRAMEQA30631
92202,500,241,where is the female with bare legs and black high heels walking,shop,FRAMEQA40527
85083,400,212,how many guys are dancing funny outdoor in public,two,FRAMEQA50989
2814,160,237,what stands upright on a bed,kitten,FRAMEQA10702
78542,245,136,how many girls is this staring at someone or something,two,FRAMEQA15416
4441,480,640,what is moving its tail laying on a bed,cat,FRAMEQA40670
100864,500,194,where are different girls singing,studio,FRAMEQA42756
74296,450,253,what is the color of the man,black,FRAMEQA25559
70033,400,225,what is the woman smoking forward and blows smoke from her mouth,moves,FRAMEQA11289
29645,400,300,what is the color of the shirt,white,FRAMEQA40504
37475,492,358,how many girls are doing the dance routine together,two,FRAMEQA33801
50342,350,205,how many people are wearing costumes and hugging each other,two,FRAMEQA37505
72271,400,225,what is the color of the cat,black,FRAMEQA15112
56218,540,304,what is the color of the lips,red,FRAMEQA197
22866,268,220,how many woman has her hand around the throat of another woman,one,FRAMEQA36914
73989,500,281,how many men are watching another man smash a guitar,two,FRAMEQA22689
98699,397,165,what peck at something on the ground,birds,FRAMEQA31411
15552,250,250,what is the color of the computer,orange,FRAMEQA50234
10728,245,250,what is the color of the top,blue,FRAMEQA50851
90238,430,214,what is the color of the costume,white,FRAMEQA16324
25187,300,237,where are two otters placing garbage,bin,FRAMEQA12355
51944,450,259,what is the color of the wine,red,FRAMEQA14657
76159,350,197,what is the color of the shirt,black,FRAMEQA41674
52479,250,142,what are two kids eating while sleepy,spaghetti,FRAMEQA28015
25169,245,192,what is the color of the cape,red,FRAMEQA34998
41974,319,213,what is there a child running up and ramp with a dog but falls down the ramp,dog,FRAMEQA10677
396,233,416,what is someone pouring into a cup,drink,FRAMEQA13450
85373,500,264,what is the color of the dress,black,FRAMEQA42942
44358,310,203,what is being kicked by another elephant,elephant,FRAMEQA15000
34633,316,237,what gets closer to the goat while it jumps around,puppy,FRAMEQA31893
26723,457,346,what is walking up to the bottle of milk,kitten,FRAMEQA47802
41336,245,165,how many men are riding the bicycle built for two,two,FRAMEQA40973
46913,245,150,what is the color of the female,white,FRAMEQA22316
47503,420,258,what are running on the tread mill that is moving,cats,FRAMEQA28606
79028,321,179,what gets forced away from the road,car,FRAMEQA37968
3448,500,700,what flies by slowly with leaves in the background,butterfly,FRAMEQA21572
90877,500,247,what is flying through an unsteady storm,airplane,FRAMEQA50511
3443,250,350,what is the woman in a dress shaking while putting one hand on her leg and the other on her hair,booty,FRAMEQA38994
57250,320,180,how many woman watches another woman speaking into a microphone,one,FRAMEQA4777
55936,317,178,what catches fire and skids across the race track,car,FRAMEQA3169
60990,320,180,what is the color of the shirt,yellow,FRAMEQA13339
30950,320,240,what is the dark haired young lady removing,sunglasses,FRAMEQA30084
35334,260,195,what arrives out of the cupboard to be patted by a blonde woman,cat,FRAMEQA23447
84271,300,161,what drives through the forest towards a building,car,FRAMEQA30376
8392,245,278,what is the color of the shirt,black,FRAMEQA7406
60913,320,180,what is the green parrot scared,cat,FRAMEQA30912
20778,245,218,what is the color of the pants,black,FRAMEQA21856
35914,265,196,what is the man in a black jacket flicking away,balloon,FRAMEQA1885
10010,320,340,what is the color of the dress,white,FRAMEQA18211
33673,320,240,what does the disgusted man flick around his neck,scarf,FRAMEQA37469
93483,500,232,what is the color of the hair,black,FRAMEQA30685
60240,480,270,what is the color of the horse,black,FRAMEQA48532
41889,480,320,what is the color of the cat,white,FRAMEQA42490
51301,245,140,what is the color of the woman,red,FRAMEQA15326
22400,245,204,how many woman with yellow hair are kissing on the cheek,two,FRAMEQA32275
53563,245,138,what is wearing a green jacket is sticking its tongue out,dog,FRAMEQA35021
37599,400,290,what is chasing the taxi down the street,peacock,FRAMEQA16885
54145,479,270,where does the guy do a spastic dance,kitchen,FRAMEQA37146
31967,640,480,where are two white fish swimming around,bowl,FRAMEQA46827
7309,321,384,what is the cat smacking,ferret,FRAMEQA22699
16222,245,245,how many boys are dancing while wearing surgical masks,two,FRAMEQA25768
6471,245,300,how many man are dancing on stage in front of a crowd,two,FRAMEQA13915
10118,250,265,what falls to the ground in a puff of dust,building,FRAMEQA6992
79071,320,179,what is the color of the man,white,FRAMEQA25823
57468,480,270,what is the color of the man,white,FRAMEQA31835
21507,370,321,what jumps over another cat in a room,cat,FRAMEQA36368
65600,360,202,how many men is standing in front of a wall with frames one is drinking out of a bottle,two,FRAMEQA17200
90482,500,249,how many men look towards each other then back away,two,FRAMEQA39559
79984,400,223,how many guys are laughing,two,FRAMEQA39207
54613,312,176,where are two men hugging,room,FRAMEQA30901
3427,500,700,where is the man nodding off to sleep,chair,FRAMEQA48588
57230,320,180,what did the cat rid,cleaner,FRAMEQA22859
54806,500,282,how many men shake hands on stage with microphones,two,FRAMEQA21208
91509,500,245,what is the color of the pants,black,FRAMEQA46666
64340,260,146,what is the color of the sky,blue,FRAMEQA22367
28777,160,120,where are three people singing,room,FRAMEQA5939
55986,317,178,what is the color of the woman,black,FRAMEQA50451
36943,159,116,what is the animal eating from a tub,popcorn,FRAMEQA9808
95726,500,220,how many boxers are in the ring fighting,two,FRAMEQA49534
4013,270,362,what does the man open and it sprays him in the face,can,FRAMEQA32337
37983,300,217,what is there attacking a kid on his face,horse,FRAMEQA23772
78737,230,129,how many kids sit on the set of stairs and play instruments and sing,three,FRAMEQA3565
72195,500,280,what is the color of the man,black,FRAMEQA37195
96867,400,170,what does the footballer head buts before scoring a goal,ball,FRAMEQA14731
28083,346,260,what is the man smoking blowing out smoke,cigarette,FRAMEQA27271
24069,406,328,what is the color of the vest,black,FRAMEQA11334
36192,384,284,what is moving his head,horse,FRAMEQA1515
77143,268,150,how many women are dancing on the stage wearing flowery dresses,three,FRAMEQA11744
81698,310,170,how many males is kiss each other passionately with their eyes closed,two,FRAMEQA42420
65405,310,174,what is the person cutting into squares,watermelon,FRAMEQA7452
83275,400,217,what is the young girl enjoying,cigarette,FRAMEQA47626
83266,500,270,how many men in black jackets are sitting down and embracing,two,FRAMEQA22183
9632,370,398,what is the color of the top,purple,FRAMEQA13358
92379,500,240,how many men are sitting on the sofa laugh at each other,three,FRAMEQA43467
53521,245,138,what is the color of the paper,white,FRAMEQA43872
69268,400,225,how many young men with dark hair wear earphones whilst one sings into a microphone,two,FRAMEQA38779
42469,310,206,how many girls are playing when they get mowed down by a boy on a toy tractor,two,FRAMEQA6098
76939,318,178,how many race cars crash into each other and end up on grass,two,FRAMEQA11831
2592,400,600,what is jumping up and down for the treat,dog,FRAMEQA32716
44766,434,281,what is the color of the shirt,white,FRAMEQA7507
41622,400,269,what does the penguin jump off and lands on top of a seal then runs away,rock,FRAMEQA43650
81722,479,263,where are two people fighting and one of them has a sword,garage,FRAMEQA26113
87475,327,166,what goes off track and turns around,car,FRAMEQA21203
101883,496,160,how many young boys are talking and laughing together,two,FRAMEQA5716
54106,355,200,how many dogs chase the blue bowl in the snow,two,FRAMEQA44104
71307,500,281,what is the color of the car,black,FRAMEQA29399
71736,500,281,what is the color of the man,white,FRAMEQA19026
10300,224,235,what is flying while chasing the car,helicopter,FRAMEQA30113
31574,320,240,what is floating in zero gravity atmosphere,cat,FRAMEQA51946
87755,500,254,how many guys are fighting on the riverside,two,FRAMEQA7000
37718,324,234,what is coming into the house and steeling a piece of food,bird,FRAMEQA300
79092,320,178,what are playing with the box on the floor,cats,FRAMEQA8836
41730,350,235,what is the color of the dachshund,red,FRAMEQA14649
29692,320,240,what is the girl wearing white moves,jacket,FRAMEQA26292
71358,400,225,what is of the desert or hilly looking area,picture,FRAMEQA32097
48812,500,300,what closed and opens his eyes,coat,FRAMEQA50567
95599,500,220,what is the color of the man,white,FRAMEQA31530
64560,260,146,what is the color of the hair,red,FRAMEQA31278
63147,371,209,what is the color of the suit,red,FRAMEQA2387
25919,340,263,what shreds strips of paper and tucks it under its tail,bird,FRAMEQA11053
10225,245,257,how many men are hugging each other in front of a medical machine,two,FRAMEQA22493
28330,320,240,where is the young girl making faces,mirror,FRAMEQA41348
42068,420,280,what is the color of the car,black,FRAMEQA10696
100279,500,200,how many woman is crying,one,FRAMEQA12239
78320,331,185,what makes the left turn and runs over the curb,car,FRAMEQA35997
71579,500,281,what is the man wearing and walking through a city,suit,FRAMEQA6297
30705,320,240,what is the color of the shirt,gray,FRAMEQA42865
76926,318,178,what crashes his bike and falls off while driving on a track,racer,FRAMEQA52299
21883,122,105,what happily runs to its owner across a brown landscape,dog,FRAMEQA52909
62390,320,180,what does the model slide off while walking down a runway,jacket,FRAMEQA10443
75949,400,225,what is yawning at someone in a room,kitten,FRAMEQA13376
76022,500,281,what is there going down an empty road,car,FRAMEQA1854
20977,245,216,what is the color of the rabbits,white,FRAMEQA29149
42173,313,209,what is the color of the dog,white,FRAMEQA35601
23297,245,200,how many people are tearing up papers and throwing them on the floor,two,FRAMEQA19582
35853,304,226,where is the woman doing ballet dancing,studio,FRAMEQA38840
35243,260,195,what is eating the banana and licking its lips,dog,FRAMEQA44672
4508,150,200,what does the person fold with his hands,kitten,FRAMEQA3875
9427,160,175,what is the color of the gown,blue,FRAMEQA14379
34719,300,225,how many men are sword fighting,two,FRAMEQA44658
55642,331,186,what drives off road while other vehicles pass it,car,FRAMEQA8242
45946,268,168,how many men remove the cloth wrap from another man s head,two,FRAMEQA52638
13025,245,245,how many white girl with black pants are smiling and happy,two,FRAMEQA30765
27930,267,200,what is chasing the toy mouse around a room,cat,FRAMEQA37067
95904,500,221,how many different angry boys are looking down,two,FRAMEQA48682
86907,256,133,what is the color of the hat,black,FRAMEQA50209
85158,496,262,what is the color of the female,white,FRAMEQA29585
59933,480,270,what is swinging from the chain,pendant,FRAMEQA17625
21124,200,176,what is standing on its hind paws,cat,FRAMEQA35514
37077,225,165,what is the color of the man,black,FRAMEQA3520
25314,350,275,what is avoiding snow is walking on his front paws,dog,FRAMEQA13822
89425,500,250,what is falling from the man s eye,teardrop,FRAMEQA48176
21048,340,300,what escapes while getting the bath and the woman falls in the tub,cat,FRAMEQA10902
15554,160,160,what is the white girl wearing a plaid shirt is taking,sun,FRAMEQA32549
72672,350,197,what cowers in the corner of a door,dog,FRAMEQA41505
86266,500,260,how many men on a stage put their arms around each other,three,FRAMEQA4616
67619,500,281,what is the color of the shirt,black,FRAMEQA28504
53784,369,209,what spins out during the race,car,FRAMEQA28473
18823,200,192,what does the man put on after doing a back flip,cap,FRAMEQA4127
54279,450,255,how many guys are jumping up and celebrating,two,FRAMEQA39423
100150,500,200,how many men in sunglasses are laughing and smiling,two,FRAMEQA20412
85368,500,264,what is the color of the woman,white,FRAMEQA33830
24012,242,196,what do the tiny puppy and an older dog come face and then bites at the older dog,puppy,FRAMEQA24376
95695,500,220,how many young man with microphones are standing on a stage,two,FRAMEQA10926
50711,380,220,what is the male onto a garage door,graffiti,FRAMEQA31884
82096,275,151,what is the man sitting on a couch and a woman enters,room,FRAMEQA7044
38595,250,179,what is the color of the kitten,black,FRAMEQA5576
47141,245,150,how many people are driving around in an orange car,two,FRAMEQA40319
45228,674,430,how many women are dancing while facing towards the mountain and the sun,six,FRAMEQA2384
10139,400,423,what is the color of the man,black,FRAMEQA41576
62598,320,180,what is the color of the costume,red,FRAMEQA23149
85277,250,132,what is giving the high five to a man passing by,cat,FRAMEQA37950
35710,250,187,how many women are whispering together in the room,two,FRAMEQA28907
25423,300,234,how many wrestlers is fighting one executes a move breaking a table,two,FRAMEQA22936
79833,360,200,how many men are making hand signals at same time,two,FRAMEQA34871
95627,500,221,how many hands are being clasped as if in prayer,two,FRAMEQA22860
89463,500,250,what is hiding under the blue pillow,fox,FRAMEQA38996
70072,400,225,what does the dog chase tied to a string,toy,FRAMEQA41053
32578,320,240,what is the color of the shirt,black,FRAMEQA423
36,245,600,where does the man check his trousers,microphone,FRAMEQA38133
9143,249,275,what is the color of the top,gray,FRAMEQA46011
13681,260,260,what is the color of the tshirt,green,FRAMEQA9533
85103,540,286,how many guys are in the cop car with the lights flashing,two,FRAMEQA4695
48400,341,205,how many people are doing exercises together in a studio,two,FRAMEQA34126
88861,500,250,what is the color of the dress,black,FRAMEQA7103
41953,360,240,what is the color of the shirt,blue,FRAMEQA30491
63160,371,209,what is the color of the girl,white,FRAMEQA47274
42501,280,186,what is the young long haired man eating,sandwich,FRAMEQA40712
53410,245,138,what is brushing his feathered with a toothbrush,feathers,FRAMEQA42328
71033,500,281,how many men are goofing around with each other,two,FRAMEQA26342
35219,260,195,how many boys are sitting next to the stream of water,two,FRAMEQA41554
76933,318,178,what are involved in the crash,cars,FRAMEQA21290
616,225,400,what is rolling around then rubbing its face on a girl,dog,FRAMEQA40109
40686,270,185,what slips and slides down the ramp,dog,FRAMEQA35247
57926,480,270,what is the color of the pants,black,FRAMEQA44792
68906,500,281,what is the color of the car,green,FRAMEQA12146
64120,260,146,how many cats are lying on the bed one of them pulling a blanket to get comfortable,three,FRAMEQA49344
32282,320,240,where does the girl with blue hair sit down,chair,FRAMEQA51432
27475,325,244,what is crashing over the car park wall,car,FRAMEQA14958
63423,357,200,what is the color of the dress,black,FRAMEQA30180
67264,333,187,where does the young boy do a skateboard jump over grass and sidewalk and lands,street,FRAMEQA29466
8236,245,280,what is the color of the top,black,FRAMEQA11335
2541,260,390,what is the color of the shirt,black,FRAMEQA25565
21915,284,243,what slides down the small hill,dog,FRAMEQA19760
63369,630,354,what is puffing smoke across a table through a frame,machine,FRAMEQA39500
24665,250,200,how many boys are going down the hallway one on a seaway and one on a skate board,two,FRAMEQA49444
56843,320,180,where does the young man lay,store,FRAMEQA37852
72194,500,281,how many men turn their heads and put their hands up to their faces,two,FRAMEQA24467
71793,350,197,what is massaging another gray kitten,kitten,FRAMEQA35280
4757,360,480,what is in is cage,rabbit,FRAMEQA1826
53859,368,208,how many people are kissing and moving closer to each other,two,FRAMEQA17219
